category,subject,commission_cc_pct,commission_dbs_pct,commission_edbs_pct,commission_fbs_pct,commission_fbw_pct,commission_booking_pct
Товары для животных,Коврики греющие для рептилий,31.5,35.0,3.0,31.0,26.5,31.5
Автозапчасти,Провода высоковольтные,36.5,45.0,3.0,36.0,31.5,36.5
Климатическая техника,Конвекторы,35.5,35.0,3.0,33.0,28.5,35.5
Спортивная одежда,Защита груди женская,44.5,45.0,3.0,47.0,42.5,44.5
Здоровье,Компрессионные гольфы,42.5,45.0,3.0,45.0,40.5,42.5
Сантехника,Подводки для газа,37.5,45.0,3.0,37.0,32.5,37.5
Профессиональные музыкальные инструменты,Кольца для микрофонов,38.5,45.0,3.0,42.0,37.5,38.5
Здоровье,Калоприёмники,42.5,45.0,3.0,46.0,41.5,42.5
Строительные материалы,Картон асбестовый,38.5,45.0,3.0,32.0,26.5,38.5
Спортивный товар,Шайбы,37.5,45.0,3.0,41.0,36.5,37.5
Товары для животных,Спринцовки для животных,31.5,35.0,3.0,19.0,15.5,31.5
Продукты,Хумус,4.5,4.5,3.0,35.0,30.5,4.5
Автозапчасти,Корпуса термостата,36.5,45.0,3.0,36.0,31.5,36.5
Ручной инструмент и оснастка,Ключи разводные,41.5,45.0,3.0,45.0,40.5,41.5
Продукты,Лимонная кислота,4.5,4.5,3.0,20.0,15.5,4.5
Одежда для малышей,Водолазки для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Игрушки,Игрушечные парковки,38.5,45.0,3.0,34.0,29.5,38.5
Техника для кухни,Печи для пиццы,34.5,35.0,3.0,32.0,27.5,34.5
Ручной инструмент и оснастка,Шнековые пары,41.5,45.0,3.0,44.0,39.5,41.5
Декор интерьера,Печать фотографий,39.5,45.0,3.0,38.0,33.5,39.5
Товары для малышей,Контейнеры для пустышек,36.5,45.0,3.0,31.0,26.5,36.5
Товары для животных,Термометры для аквариума,31.5,35.0,3.0,19.0,14.5,31.5
Продукты,Сахар,4.5,4.5,3.0,35.0,30.5,4.5
Электрика,Коннекторы шинопроводов,38.5,45.0,3.0,35.0,30.5,38.5
Фото и Видеотехника,Аккумуляторы для фотоаппаратов,38.5,45.0,3.0,36.0,31.5,38.5
Книжная продукция и диски,Иностранные книги,39.5,45.0,3.0,43.0,38.5,39.5
Игрушки,Запчасти и комплектующие для игрушек,38.5,45.0,3.0,38.0,33.5,38.5
Автохимия и автокосметика,Фиксаторы резьбы автомобильные,36.5,45.0,3.0,36.0,31.5,36.5
Хранение вещей,Хранение вещей,36.5,45.0,3.0,40.0,35.5,36.5
Посуда и инвентарь,Шприцы кондитерские,39.5,45.0,3.0,37.0,32.5,39.5
Одежда для малышей,Пижамы для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Строительные материалы,Блоки для троса,38.5,45.0,3.0,42.0,37.5,38.5
Здоровье,Скальпели медицинские,42.5,45.0,3.0,39.0,34.5,42.5
Строительные материалы,Углы деревянные,38.5,45.0,3.0,32.0,27.5,38.5
Религия и эзотерика,Церковная утварь,24.5,29.5,5.0,38.0,34.5,24.5
Профессиональные музыкальные инструменты,Бас-гитары,38.5,45.0,3.0,37.0,32.5,38.5
Ручной инструмент и оснастка,Инструменты для тейпирования гипсокартона,41.5,45.0,3.0,45.0,40.5,41.5
Мебель корпусная и мебель для хранения,Ширмы,36.5,45.0,3.0,40.0,35.5,36.5
Спецодежда и СИЗы,Маски многоразовые,38.5,45.0,3.0,32.0,27.5,38.5
Садовые инструменты и полив,Краны для садовых бочек и баков,39.5,45.0,3.0,43.0,38.5,39.5
Спортивные аксессуары,Гермомешки,39.5,45.0,3.0,43.0,38.5,39.5
Строительные материалы,Ворота,38.5,45.0,3.0,42.0,37.5,38.5
Автоаксессуары и дополнительное оборудование,Брызговики,36.5,45.0,3.0,36.0,31.5,36.5
Строительные материалы,Профили монтажные,38.5,45.0,3.0,38.0,33.5,38.5
Мебель офисная и торговое оборудование,Кресла парикмахерские,36.5,45.0,3.0,36.0,31.5,36.5
Головные уборы,Береты,44.5,45.0,3.0,48.0,43.5,44.5
Климатическая техника,Коврики с подогревом,35.5,35.0,3.0,33.0,28.5,35.5
Спортивный товар,Оперения для дротиков,37.5,45.0,3.0,41.0,36.5,37.5
Сантехника,Зеркала для ванной,37.5,45.0,3.0,32.0,27.5,37.5
Рукоделие,Иглы для рукоделия,39.5,45.0,3.0,31.0,26.5,39.5
Красота,Корректоры,42.5,45.0,3.0,46.0,41.5,42.5
Ручной инструмент и оснастка,Тепловизоры,41.5,45.0,3.0,39.0,34.5,41.5
Товары для животных,Дверные звонки для собак,31.5,35.0,3.0,30.0,21.5,31.5
Посуда и инвентарь,Сырорезки,39.5,45.0,3.0,39.0,34.5,39.5
Спортивные аксессуары,Велосумки,39.5,45.0,3.0,39.0,34.5,39.5
Товары для малышей,Термометры детские,36.5,45.0,3.0,40.0,35.5,36.5
Техника для красоты и здоровья,Лезвия для бритв,35.5,35.0,3.0,33.0,28.5,35.5
Алкогольная продукция,Арманьяк,4.5,4.5,3.0,4.5,4.5,4.5
Шины и диски,Вентили и переходники для шин авто,36.5,45.0,3.0,31.5,30.5,36.5
Аксессуары для волос,Банты,44.5,45.0,3.0,41.0,36.5,44.5
Садовые инструменты и полив,Ульи,39.5,45.0,3.0,32.0,27.5,39.5
Автозапчасти,Предохранительные трубки,36.5,45.0,3.0,31.0,26.5,36.5
Автоаксессуары и дополнительное оборудование,Комплектующие усиленной подвески,36.5,45.0,3.0,40.0,35.5,36.5
Обувь,Резиновые сапоги,44.5,45.0,3.0,38.0,33.5,44.5
Спортивная обувь,Аквасоки,44.5,45.0,3.0,48.0,43.5,44.5
Электроинструмент и оборудование,Электрорубанки,41.5,45.0,3.0,42.5,38.0,41.5
Умный дом и безопасность,Пульты Умный дом,34.5,35.0,3.0,32.0,27.5,34.5
